,k=10_Average-based_0,k=10_Average-based_1,k=10_Average-based_2,k=10_Average-based_3,k=10_Average-based_4,k=10_Average-based_5,k=10_Average-based_6,k=10_Average-based_7,k=10_Average-based_8,k=10_Average-based_9,k=10_Onehot-based_0,k=10_Onehot-based_1,k=10_Onehot-based_2,k=10_Onehot-based_3,k=10_Onehot-based_4,k=10_Onehot-based_5,k=10_Onehot-based_6,k=10_Onehot-based_7,k=10_Onehot-based_8,k=10_Onehot-based_9,k=10_wNMF-based_0,k=10_wNMF-based_1,k=10_wNMF-based_2,k=10_wNMF-based_3,k=10_wNMF-based_4,k=10_wNMF-based_5,k=10_wNMF-based_6,k=10_wNMF-based_7,k=10_wNMF-based_8,k=10_wNMF-based_9,k=11_Average-based_0,k=11_Average-based_1,k=11_Average-based_2,k=11_Average-based_3,k=11_Average-based_4,k=11_Average-based_5,k=11_Average-based_6,k=11_Average-based_7,k=11_Average-based_8,k=11_Average-based_9,k=11_Onehot-based_0,k=11_Onehot-based_1,k=11_Onehot-based_2,k=11_Onehot-based_3,k=11_Onehot-based_4,k=11_Onehot-based_5,k=11_Onehot-based_6,k=11_Onehot-based_7,k=11_Onehot-based_8,k=11_Onehot-based_9,k=11_wNMF-based_0,k=11_wNMF-based_1,k=11_wNMF-based_2,k=11_wNMF-based_3,k=11_wNMF-based_4,k=11_wNMF-based_5,k=11_wNMF-based_6,k=11_wNMF-based_7,k=11_wNMF-based_8,k=11_wNMF-based_9,k=12_Average-based_0,k=12_Average-based_1,k=12_Average-based_2,k=12_Average-based_3,k=12_Average-based_4,k=12_Average-based_5,k=12_Average-based_6,k=12_Average-based_7,k=12_Average-based_8,k=12_Average-based_9,k=12_Onehot-based_0,k=12_Onehot-based_1,k=12_Onehot-based_2,k=12_Onehot-based_3,k=12_Onehot-based_4,k=12_Onehot-based_5,k=12_Onehot-based_6,k=12_Onehot-based_7,k=12_Onehot-based_8,k=12_Onehot-based_9,k=12_wNMF-based_0,k=12_wNMF-based_1,k=12_wNMF-based_2,k=12_wNMF-based_3,k=12_wNMF-based_4,k=12_wNMF-based_5,k=12_wNMF-based_6,k=12_wNMF-based_7,k=12_wNMF-based_8,k=12_wNMF-based_9,k=13_Average-based_0,k=13_Average-based_1,k=13_Average-based_2,k=13_Average-based_3,k=13_Average-based_4,k=13_Average-based_5,k=13_Average-based_6,k=13_Average-based_7,k=13_Average-based_8,k=13_Average-based_9,k=13_Onehot-based_0,k=13_Onehot-based_1,k=13_Onehot-based_2,k=13_Onehot-based_3,k=13_Onehot-based_4,k=13_Onehot-based_5,k=13_Onehot-based_6,k=13_Onehot-based_7,k=13_Onehot-based_8,k=13_Onehot-based_9,k=13_wNMF-based_0,k=13_wNMF-based_1,k=13_wNMF-based_2,k=13_wNMF-based_3,k=13_wNMF-based_4,k=13_wNMF-based_5,k=13_wNMF-based_6,k=13_wNMF-based_7,k=13_wNMF-based_8,k=13_wNMF-based_9,k=14_Average-based_0,k=14_Average-based_1,k=14_Average-based_2,k=14_Average-based_3,k=14_Average-based_4,k=14_Average-based_5,k=14_Average-based_6,k=14_Average-based_7,k=14_Average-based_8,k=14_Average-based_9,k=14_Onehot-based_0,k=14_Onehot-based_1,k=14_Onehot-based_2,k=14_Onehot-based_3,k=14_Onehot-based_4,k=14_Onehot-based_5,k=14_Onehot-based_6,k=14_Onehot-based_7,k=14_Onehot-based_8,k=14_Onehot-based_9,k=14_wNMF-based_0,k=14_wNMF-based_1,k=14_wNMF-based_2,k=14_wNMF-based_3,k=14_wNMF-based_4,k=14_wNMF-based_5,k=14_wNMF-based_6,k=14_wNMF-based_7,k=14_wNMF-based_8,k=14_wNMF-based_9,k=15_Average-based_0,k=15_Average-based_1,k=15_Average-based_2,k=15_Average-based_3,k=15_Average-based_4,k=15_Average-based_5,k=15_Average-based_6,k=15_Average-based_7,k=15_Average-based_8,k=15_Average-based_9,k=15_Onehot-based_0,k=15_Onehot-based_1,k=15_Onehot-based_2,k=15_Onehot-based_3,k=15_Onehot-based_4,k=15_Onehot-based_5,k=15_Onehot-based_6,k=15_Onehot-based_7,k=15_Onehot-based_8,k=15_Onehot-based_9,k=15_wNMF-based_0,k=15_wNMF-based_1,k=15_wNMF-based_2,k=15_wNMF-based_3,k=15_wNMF-based_4,k=15_wNMF-based_5,k=15_wNMF-based_6,k=15_wNMF-based_7,k=15_wNMF-based_8,k=15_wNMF-based_9,k=16_Average-based_0,k=16_Average-based_1,k=16_Average-based_2,k=16_Average-based_3,k=16_Average-based_4,k=16_Average-based_5,k=16_Average-based_6,k=16_Average-based_7,k=16_Average-based_8,k=16_Average-based_9,k=16_Onehot-based_0,k=16_Onehot-based_1,k=16_Onehot-based_2,k=16_Onehot-based_3,k=16_Onehot-based_4,k=16_Onehot-based_5,k=16_Onehot-based_6,k=16_Onehot-based_7,k=16_Onehot-based_8,k=16_Onehot-based_9,k=16_wNMF-based_0,k=16_wNMF-based_1,k=16_wNMF-based_2,k=16_wNMF-based_3,k=16_wNMF-based_4,k=16_wNMF-based_5,k=16_wNMF-based_6,k=16_wNMF-based_7,k=16_wNMF-based_8,k=16_wNMF-based_9,k=17_Average-based_0,k=17_Average-based_1,k=17_Average-based_2,k=17_Average-based_3,k=17_Average-based_4,k=17_Average-based_5,k=17_Average-based_6,k=17_Average-based_7,k=17_Average-based_8,k=17_Average-based_9,k=17_Onehot-based_0,k=17_Onehot-based_1,k=17_Onehot-based_2,k=17_Onehot-based_3,k=17_Onehot-based_4,k=17_Onehot-based_5,k=17_Onehot-based_6,k=17_Onehot-based_7,k=17_Onehot-based_8,k=17_Onehot-based_9,k=17_wNMF-based_0,k=17_wNMF-based_1,k=17_wNMF-based_2,k=17_wNMF-based_3,k=17_wNMF-based_4,k=17_wNMF-based_5,k=17_wNMF-based_6,k=17_wNMF-based_7,k=17_wNMF-based_8,k=17_wNMF-based_9,k=18_Average-based_0,k=18_Average-based_1,k=18_Average-based_2,k=18_Average-based_3,k=18_Average-based_4,k=18_Average-based_5,k=18_Average-based_6,k=18_Average-based_7,k=18_Average-based_8,k=18_Average-based_9,k=18_Onehot-based_0,k=18_Onehot-based_1,k=18_Onehot-based_2,k=18_Onehot-based_3,k=18_Onehot-based_4,k=18_Onehot-based_5,k=18_Onehot-based_6,k=18_Onehot-based_7,k=18_Onehot-based_8,k=18_Onehot-based_9,k=18_wNMF-based_0,k=18_wNMF-based_1,k=18_wNMF-based_2,k=18_wNMF-based_3,k=18_wNMF-based_4,k=18_wNMF-based_5,k=18_wNMF-based_6,k=18_wNMF-based_7,k=18_wNMF-based_8,k=18_wNMF-based_9,k=19_Average-based_0,k=19_Average-based_1,k=19_Average-based_2,k=19_Average-based_3,k=19_Average-based_4,k=19_Average-based_5,k=19_Average-based_6,k=19_Average-based_7,k=19_Average-based_8,k=19_Average-based_9,k=19_Onehot-based_0,k=19_Onehot-based_1,k=19_Onehot-based_2,k=19_Onehot-based_3,k=19_Onehot-based_4,k=19_Onehot-based_5,k=19_Onehot-based_6,k=19_Onehot-based_7,k=19_Onehot-based_8,k=19_Onehot-based_9,k=19_wNMF-based_0,k=19_wNMF-based_1,k=19_wNMF-based_2,k=19_wNMF-based_3,k=19_wNMF-based_4,k=19_wNMF-based_5,k=19_wNMF-based_6,k=19_wNMF-based_7,k=19_wNMF-based_8,k=19_wNMF-based_9,k=20_Average-based_0,k=20_Average-based_1,k=20_Average-based_2,k=20_Average-based_3,k=20_Average-based_4,k=20_Average-based_5,k=20_Average-based_6,k=20_Average-based_7,k=20_Average-based_8,k=20_Average-based_9,k=20_Onehot-based_0,k=20_Onehot-based_1,k=20_Onehot-based_2,k=20_Onehot-based_3,k=20_Onehot-based_4,k=20_Onehot-based_5,k=20_Onehot-based_6,k=20_Onehot-based_7,k=20_Onehot-based_8,k=20_Onehot-based_9,k=20_wNMF-based_0,k=20_wNMF-based_1,k=20_wNMF-based_2,k=20_wNMF-based_3,k=20_wNMF-based_4,k=20_wNMF-based_5,k=20_wNMF-based_6,k=20_wNMF-based_7,k=20_wNMF-based_8,k=20_wNMF-based_9
593,5,6,3,4,8,9,8,0,6,3,2,5,3,2,2,4,4,2,3,2,4,4,3,5,3,6,4,7,8,4,4,0,2,9,0,10,3,3,7,9,2,5,3,10,0,2,1,2,4,3,7,3,0,7,5,5,7,7,8,6,4,4,10,11,9,10,2,11,2,4,2,0,2,3,1,2,2,10,4,3,3,6,6,6,4,6,0,4,4,2,0,4,4,7,4,4,4,3,4,3,2,3,0,3,1,2,3,3,1,5,7,12,7,4,12,6,9,5,7,10,4,3,2,4,0,3,12,0,5,5,5,5,2,4,0,4,4,1,3,11,0,4,5,5,3,0,5,4,3,4,4,6,3,0,3,4,3,3,0,3,1,3,1,3,3,3,3,3,0,2,3,5,2,5,10,3,3,4,3,12,5,4,2,3,6,2,4,3,15,15,2,4,3,3,0,0,6,6,11,0,4,5,6,6,7,2,7,9,3,3,4,4,3,2,3,15,4,3,3,4,2,4,3,3,1,3,1,3,2,1,5,3,6,4,14,15,14,15,6,4,1,7,10,6,4,5,15,3,16,16,11,16,2,3,6,1,1,1,6,0,10,3,3,4,0,17,0,12,5,4,10,5,4,4,2,5,4,3,5,6,5,5,4,9,2,9,2,2,7,4,4,17,6,5,15,18,14,15,0,1,13,4,17,17,15,19,2,5,4,3,6,2,3,2,4,12,5,4,1,4,5,7,5,11,5,3,10,2,19,0
594,0,4,7,6,4,5,6,1,5,6,4,3,5,6,8,6,5,4,5,4,5,5,5,6,7,5,6,4,6,5,5,4,4,6,6,6,6,5,6,6,0,6,6,5,4,5,6,4,6,5,0,4,7,6,2,6,5,5,5,5,7,10,6,6,6,11,6,1,1,8,6,7,5,6,4,7,0,5,5,11,6,9,1,8,6,7,2,10,11,6,11,10,11,11,9,8,1,10,8,9,12,9,6,8,5,12,8,8,12,8,1,0,1,9,9,8,10,6,6,2,10,12,9,7,8,8,7,8,11,11,0,3,11,5,7,7,6,6,8,9,7,7,8,6,0,7,8,7,5,6,9,12,11,11,6,9,13,10,12,11,4,4,7,7,8,10,13,5,9,6,7,11,7,6,12,13,8,2,6,7,0,10,8,14,11,5,8,13,9,8,7,13,7,5,7,9,7,9,13,10,1,14,0,8,8,10,10,2,10,11,7,15,0,9,14,9,8,11,9,10,0,9,11,9,9,4,8,10,7,4,12,15,10,11,4,10,11,6,8,1,7,11,12,7,15,13,17,9,17,11,16,6,9,6,5,8,8,14,7,15,7,8,5,14,10,10,11,8,8,12,15,11,17,9,18,13,14,5,8,17,4,7,13,6,7,10,13,5,8,6,7,10,12,14,10,0,12,8,12,18,8,16,0,8,13,10,8,16,6,8,7,13,7,9,19,11,11,6,0,17,19,18,18,13,18,9,18,7,14,9
595,3,2,2,3,2,2,0,3,3,0,1,2,0,7,3,5,1,1,1,1,2,2,2,4,2,7,0,2,7,7,2,3,3,2,3,2,2,0,2,0,3,2,1,2,3,3,3,0,2,0,3,2,3,2,3,2,3,0,3,2,2,1,2,2,3,3,4,0,3,3,4,1,1,2,2,0,4,0,2,2,2,0,2,3,3,2,3,0,2,0,5,1,2,3,2,3,3,2,3,2,0,2,2,2,3,3,2,1,3,0,2,2,2,3,1,3,2,3,4,8,11,0,3,2,3,2,2,3,3,2,2,2,1,1,6,12,1,0,2,2,13,2,4,2,2,9,3,3,0,2,3,3,0,3,2,3,2,2,3,2,3,2,2,1,2,1,2,14,4,1,2,3,6,0,3,11,2,3,4,4,2,3,5,2,4,3,3,4,3,2,0,2,0,0,2,7,1,5,2,2,0,3,5,9,0,3,4,10,2,0,2,2,11,3,4,4,3,2,0,8,6,12,2,2,7,10,4,9,3,12,2,2,3,1,7,2,7,11,4,3,4,3,2,4,2,3,9,5,2,9,17,9,1,13,8,5,0,4,3,13,2,5,2,7,4,3,3,11,3,8,0,7,0,2,4,4,18,2,2,4,3,3,0,3,1,4,6,6,2,1,3,3,3,2,5,4,6,4,7,3,4,3,4,3,4,0,7,4,3,2,2,4,4,5,1,14,7,7,4,3,9,3,2,0,2,0,2,5,4,2
596,7,7,6,7,6,6,7,4,7,7,3,6,7,5,9,8,7,5,6,7,7,0,8,7,1,4,7,6,3,6,8,5,7,8,7,7,7,8,8,4,6,7,8,6,6,7,5,5,7,6,9,0,4,8,8,8,6,2,6,8,0,5,7,8,8,6,8,6,6,6,0,5,10,10,5,4,7,7,6,7,0,7,9,5,7,9,7,7,8,7,8,8,6,6,8,7,7,6,6,0,8,8,8,6,6,6,4,6,7,6,6,7,9,2,8,5,5,7,2,7,5,7,8,5,5,9,6,6,9,0,9,6,4,7,2,6,8,5,6,0,6,8,7,11,7,5,6,2,4,7,6,11,8,6,7,6,7,7,6,9,6,5,6,11,10,5,6,6,2,5,6,7,14,9,6,8,7,8,7,6,10,9,7,8,2,9,6,9,6,9,6,9,6,10,6,8,13,4,5,6,12,8,8,7,9,9,0,6,6,1,10,13,8,5,7,6,5,0,5,7,4,14,8,6,5,11,5,7,5,6,7,8,8,9,5,0,9,9,10,6,9,6,8,13,6,9,8,4,9,10,8,8,6,8,12,6,6,2,9,12,5,6,14,10,7,7,7,13,6,9,7,8,8,10,7,8,8,10,9,9,12,8,6,5,4,7,4,7,11,8,13,12,13,11,0,8,0,5,10,13,12,9,8,5,0,9,3,17,10,4,9,8,18,7,6,8,15,8,13,8,15,11,12,16,9,13,15,9,7,7
597,3,2,2,3,2,2,0,3,3,0,1,2,0,7,3,5,1,1,1,1,6,9,7,2,8,0,9,8,2,1,2,3,3,2,3,2,2,0,2,0,3,2,1,2,3,3,3,0,2,0,3,2,3,2,3,2,3,0,3,2,2,1,2,2,3,3,4,0,3,3,4,1,1,2,2,0,4,0,2,2,2,0,2,3,3,2,3,0,2,0,5,1,2,3,2,3,3,2,3,2,0,2,2,2,3,3,2,1,3,0,2,2,2,3,1,3,2,3,4,8,11,0,3,2,3,2,2,3,3,2,2,2,1,1,6,12,1,0,2,2,13,2,4,2,2,9,3,3,0,2,3,3,0,3,2,3,2,2,3,2,3,2,2,1,2,1,2,2,4,1,1,12,3,0,11,2,13,10,13,14,9,7,6,0,5,8,1,6,7,5,10,6,8,4,10,4,5,7,14,13,3,13,3,1,13,5,14,13,7,12,0,9,10,11,9,11,7,4,13,13,5,11,13,8,8,1,13,15,11,7,14,12,11,6,2,12,16,14,3,14,13,14,0,14,10,7,12,8,8,6,14,12,3,17,7,14,9,5,13,7,17,16,17,7,15,15,17,17,12,13,0,7,9,2,10,16,18,0,2,10,18,0,11,12,5,15,15,14,5,7,3,3,3,15,5,4,6,4,7,3,16,6,16,18,14,6,13,6,19,17,17,7,16,6,7,15,6,5,6,14,18,10,6,19,0,1,14,0,13,15
598,3,2,2,3,2,2,0,3,3,0,1,2,0,7,3,5,1,1,1,1,2,2,2,4,2,7,0,2,7,7,2,3,3,2,3,2,2,0,2,0,3,2,1,2,3,3,3,0,2,0,7,3,0,7,5,5,7,7,8,6,2,1,2,2,3,3,4,0,3,3,4,1,1,2,2,0,4,0,2,2,2,0,2,3,3,2,3,0,2,0,5,1,2,3,2,3,3,2,3,2,0,2,2,2,3,3,2,1,3,0,2,2,2,3,1,3,2,3,4,8,3,10,3,13,9,2,2,12,13,13,2,2,1,1,6,12,1,0,2,2,13,2,4,2,2,9,3,3,0,2,3,3,0,3,2,3,2,2,3,2,3,2,2,1,2,1,2,14,4,1,2,3,6,0,3,11,2,3,4,4,9,7,6,0,5,8,1,6,7,5,10,6,8,4,10,4,5,7,14,13,3,7,3,1,13,5,14,11,7,12,0,9,10,11,9,11,7,4,13,13,5,11,13,8,8,1,13,3,11,7,2,2,3,6,7,2,7,11,4,3,13,14,0,14,10,7,12,8,8,6,14,12,3,17,7,14,9,5,13,7,17,16,17,7,2,15,17,17,12,13,0,7,9,2,10,16,18,0,2,10,18,0,11,12,5,15,15,14,5,7,12,2,10,15,2,12,3,11,13,8,16,6,16,19,14,6,13,6,19,17,17,7,16,6,7,15,6,5,6,14,18,10,6,19,0,1,14,0,13,15
599,3,2,2,3,2,2,0,3,3,0,1,2,0,7,3,5,1,1,1,1,6,9,7,2,8,0,9,8,2,1,9,7,9,1,8,0,8,1,0,7,9,4,9,7,8,6,8,8,0,7,8,9,9,5,7,4,8,8,10,10,11,8,11,7,2,7,3,7,10,9,7,8,6,7,8,8,8,9,0,8,7,10,3,1,9,8,8,2,0,9,7,6,7,1,0,10,6,8,9,7,4,5,4,5,8,8,5,7,6,7,9,10,5,8,6,7,8,8,8,9,7,9,10,8,10,12,13,7,8,9,7,11,7,10,9,8,7,8,7,4,10,6,11,8,8,13,11,8,1,0,11,9,9,7,8,8,10,8,8,7,8,9,8,9,11,7,8,8,7,9,8,10,9,8,7,10,12,5,10,1,12,14,10,12,9,10,10,8,10,13,5,3,10,6,15,6,4,0,4,8,9,10,2,11,6,7,3,8,11,9,8,5,7,10,11,0,10,13,1,9,11,7,10,4,4,9,0,12,8,9,8,11,9,12,8,8,5,7,15,12,12,12,9,8,8,11,14,7,13,14,6,4,10,7,3,4,13,10,5,3,9,10,12,11,12,9,13,6,13,0,9,14,11,11,0,9,11,13,15,8,8,14,5,8,11,6,11,3,9,14,9,8,7,8,14,11,9,10,6,2,2,11,14,6,9,14,12,10,15,10,13,10,8,10,3,6,13,11,8,7,12,6,11,5,6,12,11,16,10,5
600,0,4,7,6,4,5,6,1,5,6,4,3,5,6,8,6,5,4,5,4,5,5,5,6,7,5,6,4,6,5,5,4,4,6,6,6,6,5,6,6,0,6,6,5,4,5,6,4,6,5,0,4,7,6,2,6,5,5,5,5,7,10,6,6,6,11,6,1,1,8,6,7,5,6,4,7,0,5,5,11,6,9,1,8,6,7,2,10,11,6,11,10,11,11,9,8,1,10,8,9,12,9,6,8,5,12,8,8,12,8,1,0,1,9,9,8,10,6,6,2,10,12,9,7,8,8,7,8,11,11,0,3,11,5,7,7,6,6,8,9,7,7,8,6,0,7,8,7,5,6,9,12,11,11,6,9,13,10,12,11,4,4,7,7,8,10,13,5,9,6,7,11,7,6,12,13,8,2,6,7,0,10,8,14,11,5,8,13,9,8,7,13,7,5,7,9,7,9,13,10,1,14,0,8,8,10,10,2,10,11,7,15,0,9,14,9,8,11,9,10,0,9,11,9,9,4,8,10,7,4,12,15,10,11,4,10,11,6,8,1,7,11,12,7,15,13,17,9,17,11,16,6,9,6,5,8,8,14,7,15,7,8,5,14,10,10,11,8,8,12,15,11,17,9,18,13,14,5,8,17,4,7,13,6,7,10,13,5,8,6,7,10,12,14,10,0,12,8,12,18,8,16,0,8,13,10,8,16,6,8,7,13,7,9,19,11,11,6,0,17,19,18,18,13,18,9,18,7,14,9
601,3,2,2,3,2,2,0,3,3,0,1,2,0,7,3,5,1,1,1,1,2,2,2,4,2,7,0,2,7,7,2,3,3,2,3,2,2,0,2,0,3,2,1,2,3,3,3,0,2,0,3,2,3,2,3,2,3,0,3,2,2,1,2,2,3,3,4,0,3,3,4,1,1,2,2,0,4,0,2,2,2,0,2,3,3,2,3,0,2,0,5,1,2,3,2,3,3,2,3,2,0,2,2,2,3,3,2,1,3,0,2,2,2,3,1,3,2,3,4,8,11,0,3,2,3,2,2,3,3,2,2,2,1,1,6,12,1,0,2,2,13,2,4,2,2,9,3,3,0,2,3,3,0,3,2,3,2,2,3,2,3,2,2,1,2,1,2,14,4,1,2,3,6,0,3,11,2,3,4,4,2,3,5,2,4,3,3,4,3,2,0,2,0,0,2,7,1,5,2,2,0,3,5,9,0,3,4,10,2,0,2,2,11,3,4,4,3,2,0,8,6,12,2,2,7,10,4,9,3,12,2,2,3,1,7,2,7,11,4,3,4,3,2,4,2,3,9,5,2,9,17,9,1,13,8,5,0,4,3,13,2,5,2,0,4,3,3,11,3,8,6,3,0,7,4,4,3,2,4,4,3,3,0,3,1,4,6,6,2,1,3,3,3,2,5,4,6,4,7,3,4,3,4,3,4,0,7,4,3,2,2,4,4,5,1,14,7,7,4,3,9,3,2,0,2,0,2,5,4,2
602,1,1,1,1,1,0,1,2,2,2,0,1,1,3,1,1,2,3,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,2,1,1,1,1,0,1,1,0,2,1,1,2,1,1,1,1,1,0,1,1,1,0,1,2,1,1,1,0,1,2,0,1,1,2,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,1,0,1,11,2,1,1,1,1,1,1,1,2,1,1,4,2,1,0,1,0,1,2,1,0,1,1,1,1,2,0,0,1,0,0,1,1,4,1,1,0,2,1,1,2,3,1,1,1,1,0,1,1,1,0,1,2,1,14,7,13,14,12,7,14,0,13,0,0,1,0,4,1,0,1,1,1,0,0,2,1,2,2,1,0,7,1,2,7,11,12,9,12,0,15,14,1,1,1,1,2,1,1,2,2,1,0,1,14,11,14,13,12,0,15,14,14,13,16,8,1,16,16,1,16,14,16,16,1,1,5,0,0,2,2,1,1,2,1,0,5,2,1,1,2,1,2,0,12,12,9,8,8,11,14,7,13,14,6,4,10,7,3,4,13,10,5,3,9,10,12,11,12,9,13,6,13,0,16,16,2,13,15,15,17,8,16,16,1,6,1,1,0,2,1,1,1,5,16,16,1,16,8,6,17,1,17,17,15,15,18,13,17,18,15,14,0,15,5,10,8,4,3,4,13,3,5,7,14,14,7,8,19,18,19,12,0,8
603,3,2,2,3,2,2,0,3,3,0,1,2,0,7,3,5,1,1,1,1,2,2,2,4,2,7,0,2,7,7,2,3,3,2,3,2,2,0,2,0,3,2,1,2,3,3,3,0,2,0,3,2,3,2,3,2,3,0,3,2,2,1,2,2,3,3,4,0,3,3,4,1,1,2,2,0,4,0,2,2,2,0,2,3,3,2,3,0,2,0,5,1,2,3,2,3,3,2,3,2,0,2,2,2,3,3,2,1,3,0,2,2,2,3,1,3,2,3,4,8,11,0,3,2,3,2,2,3,3,2,2,2,1,1,6,12,1,0,2,2,13,2,4,2,2,9,3,3,0,2,3,3,0,3,2,3,2,2,3,2,3,2,2,1,2,1,2,14,4,1,2,3,6,0,3,11,2,3,4,4,2,3,5,2,4,3,3,4,3,2,0,2,0,0,2,7,1,5,2,2,0,3,5,9,0,3,4,10,2,0,2,2,11,3,4,4,3,2,0,8,6,12,2,2,7,10,4,9,3,12,2,2,3,1,7,2,7,11,4,3,4,3,2,4,2,3,9,5,2,9,17,9,1,13,8,5,0,4,3,13,2,5,2,0,4,3,3,11,3,8,6,3,0,7,4,4,3,2,4,4,3,3,0,3,1,4,6,6,2,1,3,3,3,2,5,4,6,4,7,3,4,3,4,3,4,0,7,4,3,2,2,4,4,5,1,14,7,7,4,3,9,3,2,0,2,0,2,5,4,2
604,6,5,5,0,5,3,5,6,4,5,5,4,4,1,0,3,6,6,8,5,9,7,6,8,6,8,5,5,0,9,6,6,5,5,5,4,5,4,4,3,5,8,2,3,7,1,0,6,5,1,6,5,2,4,6,7,0,3,0,4,5,0,5,5,4,2,7,3,5,5,5,4,3,5,6,3,3,6,7,5,5,5,4,4,5,3,4,3,5,4,3,3,5,5,6,2,0,5,2,5,5,4,3,0,0,5,0,2,5,3,3,3,3,0,3,4,6,4,5,4,9,4,5,6,6,6,4,5,4,7,3,4,5,6,4,2,3,4,0,7,4,0,2,7,4,4,2,5,8,8,5,8,4,5,4,5,5,5,5,5,2,8,3,2,4,4,4,4,3,4,4,4,0,4,0,4,5,6,0,5,6,0,3,6,7,7,5,5,0,7,4,7,5,8,5,3,3,2,3,3,6,0,10,3,5,14,6,5,5,4,6,6,5,8,0,8,0,7,6,6,16,8,4,5,6,8,6,6,4,3,3,6,0,3,0,6,4,4,0,5,5,8,4,3,5,0,5,0,4,5,9,5,8,5,1,3,4,8,2,5,6,0,4,3,5,5,5,7,0,5,3,4,5,5,8,2,7,7,0,5,6,4,3,4,9,5,8,4,4,3,0,4,0,4,7,9,5,6,3,4,6,0,12,9,7,7,5,7,5,6,3,12,5,14,18,3,18,10,7,2,10,0,15,6,3,16,7,6,11,6
605,0,4,7,6,4,5,6,1,5,6,4,3,5,6,8,6,5,4,5,4,5,5,5,6,7,5,6,4,6,5,5,4,4,6,6,6,6,5,6,6,0,6,6,5,4,5,6,4,6,5,0,4,7,6,2,6,5,5,5,5,7,10,6,6,6,11,6,1,1,8,6,7,5,6,4,7,0,5,5,11,6,9,1,8,6,7,2,10,11,6,11,10,11,11,9,8,1,10,8,9,12,9,6,8,5,12,8,8,12,8,1,0,1,9,9,8,10,6,6,2,10,12,9,7,8,8,7,8,11,11,0,3,11,5,7,7,6,6,8,9,7,7,8,6,0,7,8,7,5,6,9,12,11,11,6,9,13,10,12,11,4,4,7,7,8,10,13,5,9,6,7,11,7,6,12,13,8,2,6,7,0,10,8,14,11,5,8,13,9,8,7,13,7,5,7,9,7,9,13,10,1,14,0,8,8,10,10,2,10,11,7,15,0,9,14,9,8,11,9,10,0,9,11,9,9,4,8,10,7,4,12,15,10,11,4,10,11,6,8,1,7,11,12,7,15,13,17,9,17,11,16,6,9,6,5,8,8,14,7,15,7,8,5,14,10,10,11,8,8,12,15,11,17,9,18,13,14,5,8,17,4,7,13,6,7,10,13,5,8,6,7,10,12,14,10,0,12,8,12,18,8,16,0,8,13,10,8,16,6,8,7,13,7,9,19,11,11,6,0,17,19,18,18,13,18,9,18,7,14,9
606,5,6,3,4,8,9,8,0,6,3,2,5,3,2,2,4,4,2,3,2,4,4,3,5,3,6,4,7,8,4,4,0,2,9,0,10,3,3,7,9,2,5,3,10,0,2,1,2,4,3,7,3,0,7,5,5,7,7,8,6,4,4,10,11,9,10,2,11,2,4,2,0,2,3,1,2,2,10,4,3,3,6,6,6,4,6,0,4,4,2,0,4,4,7,4,4,4,3,4,3,2,3,0,3,1,2,3,3,1,5,4,4,4,11,4,10,4,10,10,5,4,3,2,4,0,3,12,0,5,5,5,5,2,4,0,4,4,1,3,11,0,4,13,5,12,0,5,4,3,4,4,6,3,0,3,4,3,3,0,3,1,3,1,3,3,3,3,3,0,2,14,13,13,14,10,3,9,4,12,0,5,4,2,3,6,2,4,3,15,15,2,4,3,3,0,0,6,6,11,0,4,5,6,6,7,12,7,9,3,3,4,4,3,2,3,2,4,3,3,4,2,4,3,3,1,3,1,4,2,1,9,14,15,14,14,4,3,5,7,4,1,7,10,11,11,5,15,14,16,16,2,13,7,0,9,10,7,6,11,17,4,3,15,17,14,4,14,2,2,16,2,1,14,6,13,18,9,15,13,6,0,13,17,7,17,1,9,12,12,16,10,5,16,10,3,3,2,15,16,15,13,4,17,17,15,19,2,5,4,3,16,14,14,8,15,9,5,16,1,4,5,7,5,11,5,3,4,2,19,0
