,k=10_Average-based_0,k=10_Average-based_1,k=10_Average-based_2,k=10_Average-based_3,k=10_Average-based_4,k=10_Average-based_5,k=10_Average-based_6,k=10_Average-based_7,k=10_Average-based_8,k=10_Average-based_9,k=10_Onehot-based_0,k=10_Onehot-based_1,k=10_Onehot-based_2,k=10_Onehot-based_3,k=10_Onehot-based_4,k=10_Onehot-based_5,k=10_Onehot-based_6,k=10_Onehot-based_7,k=10_Onehot-based_8,k=10_Onehot-based_9,k=10_wNMF-based_0,k=10_wNMF-based_1,k=10_wNMF-based_2,k=10_wNMF-based_3,k=10_wNMF-based_4,k=10_wNMF-based_5,k=10_wNMF-based_6,k=10_wNMF-based_7,k=10_wNMF-based_8,k=10_wNMF-based_9,k=11_Average-based_0,k=11_Average-based_1,k=11_Average-based_2,k=11_Average-based_3,k=11_Average-based_4,k=11_Average-based_5,k=11_Average-based_6,k=11_Average-based_7,k=11_Average-based_8,k=11_Average-based_9,k=11_Onehot-based_0,k=11_Onehot-based_1,k=11_Onehot-based_2,k=11_Onehot-based_3,k=11_Onehot-based_4,k=11_Onehot-based_5,k=11_Onehot-based_6,k=11_Onehot-based_7,k=11_Onehot-based_8,k=11_Onehot-based_9,k=11_wNMF-based_0,k=11_wNMF-based_1,k=11_wNMF-based_2,k=11_wNMF-based_3,k=11_wNMF-based_4,k=11_wNMF-based_5,k=11_wNMF-based_6,k=11_wNMF-based_7,k=11_wNMF-based_8,k=11_wNMF-based_9,k=12_Average-based_0,k=12_Average-based_1,k=12_Average-based_2,k=12_Average-based_3,k=12_Average-based_4,k=12_Average-based_5,k=12_Average-based_6,k=12_Average-based_7,k=12_Average-based_8,k=12_Average-based_9,k=12_Onehot-based_0,k=12_Onehot-based_1,k=12_Onehot-based_2,k=12_Onehot-based_3,k=12_Onehot-based_4,k=12_Onehot-based_5,k=12_Onehot-based_6,k=12_Onehot-based_7,k=12_Onehot-based_8,k=12_Onehot-based_9,k=12_wNMF-based_0,k=12_wNMF-based_1,k=12_wNMF-based_2,k=12_wNMF-based_3,k=12_wNMF-based_4,k=12_wNMF-based_5,k=12_wNMF-based_6,k=12_wNMF-based_7,k=12_wNMF-based_8,k=12_wNMF-based_9,k=13_Average-based_0,k=13_Average-based_1,k=13_Average-based_2,k=13_Average-based_3,k=13_Average-based_4,k=13_Average-based_5,k=13_Average-based_6,k=13_Average-based_7,k=13_Average-based_8,k=13_Average-based_9,k=13_Onehot-based_0,k=13_Onehot-based_1,k=13_Onehot-based_2,k=13_Onehot-based_3,k=13_Onehot-based_4,k=13_Onehot-based_5,k=13_Onehot-based_6,k=13_Onehot-based_7,k=13_Onehot-based_8,k=13_Onehot-based_9,k=13_wNMF-based_0,k=13_wNMF-based_1,k=13_wNMF-based_2,k=13_wNMF-based_3,k=13_wNMF-based_4,k=13_wNMF-based_5,k=13_wNMF-based_6,k=13_wNMF-based_7,k=13_wNMF-based_8,k=13_wNMF-based_9,k=14_Average-based_0,k=14_Average-based_1,k=14_Average-based_2,k=14_Average-based_3,k=14_Average-based_4,k=14_Average-based_5,k=14_Average-based_6,k=14_Average-based_7,k=14_Average-based_8,k=14_Average-based_9,k=14_Onehot-based_0,k=14_Onehot-based_1,k=14_Onehot-based_2,k=14_Onehot-based_3,k=14_Onehot-based_4,k=14_Onehot-based_5,k=14_Onehot-based_6,k=14_Onehot-based_7,k=14_Onehot-based_8,k=14_Onehot-based_9,k=14_wNMF-based_0,k=14_wNMF-based_1,k=14_wNMF-based_2,k=14_wNMF-based_3,k=14_wNMF-based_4,k=14_wNMF-based_5,k=14_wNMF-based_6,k=14_wNMF-based_7,k=14_wNMF-based_8,k=14_wNMF-based_9,k=15_Average-based_0,k=15_Average-based_1,k=15_Average-based_2,k=15_Average-based_3,k=15_Average-based_4,k=15_Average-based_5,k=15_Average-based_6,k=15_Average-based_7,k=15_Average-based_8,k=15_Average-based_9,k=15_Onehot-based_0,k=15_Onehot-based_1,k=15_Onehot-based_2,k=15_Onehot-based_3,k=15_Onehot-based_4,k=15_Onehot-based_5,k=15_Onehot-based_6,k=15_Onehot-based_7,k=15_Onehot-based_8,k=15_Onehot-based_9,k=15_wNMF-based_0,k=15_wNMF-based_1,k=15_wNMF-based_2,k=15_wNMF-based_3,k=15_wNMF-based_4,k=15_wNMF-based_5,k=15_wNMF-based_6,k=15_wNMF-based_7,k=15_wNMF-based_8,k=15_wNMF-based_9,k=16_Average-based_0,k=16_Average-based_1,k=16_Average-based_2,k=16_Average-based_3,k=16_Average-based_4,k=16_Average-based_5,k=16_Average-based_6,k=16_Average-based_7,k=16_Average-based_8,k=16_Average-based_9,k=16_Onehot-based_0,k=16_Onehot-based_1,k=16_Onehot-based_2,k=16_Onehot-based_3,k=16_Onehot-based_4,k=16_Onehot-based_5,k=16_Onehot-based_6,k=16_Onehot-based_7,k=16_Onehot-based_8,k=16_Onehot-based_9,k=16_wNMF-based_0,k=16_wNMF-based_1,k=16_wNMF-based_2,k=16_wNMF-based_3,k=16_wNMF-based_4,k=16_wNMF-based_5,k=16_wNMF-based_6,k=16_wNMF-based_7,k=16_wNMF-based_8,k=16_wNMF-based_9,k=17_Average-based_0,k=17_Average-based_1,k=17_Average-based_2,k=17_Average-based_3,k=17_Average-based_4,k=17_Average-based_5,k=17_Average-based_6,k=17_Average-based_7,k=17_Average-based_8,k=17_Average-based_9,k=17_Onehot-based_0,k=17_Onehot-based_1,k=17_Onehot-based_2,k=17_Onehot-based_3,k=17_Onehot-based_4,k=17_Onehot-based_5,k=17_Onehot-based_6,k=17_Onehot-based_7,k=17_Onehot-based_8,k=17_Onehot-based_9,k=17_wNMF-based_0,k=17_wNMF-based_1,k=17_wNMF-based_2,k=17_wNMF-based_3,k=17_wNMF-based_4,k=17_wNMF-based_5,k=17_wNMF-based_6,k=17_wNMF-based_7,k=17_wNMF-based_8,k=17_wNMF-based_9,k=18_Average-based_0,k=18_Average-based_1,k=18_Average-based_2,k=18_Average-based_3,k=18_Average-based_4,k=18_Average-based_5,k=18_Average-based_6,k=18_Average-based_7,k=18_Average-based_8,k=18_Average-based_9,k=18_Onehot-based_0,k=18_Onehot-based_1,k=18_Onehot-based_2,k=18_Onehot-based_3,k=18_Onehot-based_4,k=18_Onehot-based_5,k=18_Onehot-based_6,k=18_Onehot-based_7,k=18_Onehot-based_8,k=18_Onehot-based_9,k=18_wNMF-based_0,k=18_wNMF-based_1,k=18_wNMF-based_2,k=18_wNMF-based_3,k=18_wNMF-based_4,k=18_wNMF-based_5,k=18_wNMF-based_6,k=18_wNMF-based_7,k=18_wNMF-based_8,k=18_wNMF-based_9,k=19_Average-based_0,k=19_Average-based_1,k=19_Average-based_2,k=19_Average-based_3,k=19_Average-based_4,k=19_Average-based_5,k=19_Average-based_6,k=19_Average-based_7,k=19_Average-based_8,k=19_Average-based_9,k=19_Onehot-based_0,k=19_Onehot-based_1,k=19_Onehot-based_2,k=19_Onehot-based_3,k=19_Onehot-based_4,k=19_Onehot-based_5,k=19_Onehot-based_6,k=19_Onehot-based_7,k=19_Onehot-based_8,k=19_Onehot-based_9,k=19_wNMF-based_0,k=19_wNMF-based_1,k=19_wNMF-based_2,k=19_wNMF-based_3,k=19_wNMF-based_4,k=19_wNMF-based_5,k=19_wNMF-based_6,k=19_wNMF-based_7,k=19_wNMF-based_8,k=19_wNMF-based_9,k=20_Average-based_0,k=20_Average-based_1,k=20_Average-based_2,k=20_Average-based_3,k=20_Average-based_4,k=20_Average-based_5,k=20_Average-based_6,k=20_Average-based_7,k=20_Average-based_8,k=20_Average-based_9,k=20_Onehot-based_0,k=20_Onehot-based_1,k=20_Onehot-based_2,k=20_Onehot-based_3,k=20_Onehot-based_4,k=20_Onehot-based_5,k=20_Onehot-based_6,k=20_Onehot-based_7,k=20_Onehot-based_8,k=20_Onehot-based_9,k=20_wNMF-based_0,k=20_wNMF-based_1,k=20_wNMF-based_2,k=20_wNMF-based_3,k=20_wNMF-based_4,k=20_wNMF-based_5,k=20_wNMF-based_6,k=20_wNMF-based_7,k=20_wNMF-based_8,k=20_wNMF-based_9
521,8,2,7,0,3,7,8,7,1,3,3,1,3,6,9,9,8,9,7,9,3,5,3,6,5,4,6,5,6,2,7,2,10,2,8,2,10,8,7,10,4,2,0,1,7,5,10,0,3,2,5,9,10,3,9,10,3,10,4,10,5,0,10,11,4,6,11,6,3,8,6,5,11,2,1,2,9,8,6,1,7,5,7,5,4,11,7,8,8,11,7,1,9,9,5,4,8,3,12,0,11,7,0,1,10,12,6,8,3,9,2,9,8,3,0,5,8,4,0,10,3,2,3,12,8,5,7,7,9,10,1,2,3,2,7,2,3,3,13,4,6,2,11,11,11,11,6,0,10,9,3,9,0,10,14,8,0,4,4,6,5,5,3,2,4,5,2,7,3,11,14,3,3,14,7,9,14,14,8,6,10,4,7,6,12,4,3,14,11,5,3,12,0,1,12,7,4,7,8,2,1,2,7,3,10,14,3,12,3,7,12,7,2,3,4,12,7,5,8,1,13,4,6,10,2,5,9,13,13,6,7,11,3,0,8,5,3,9,3,3,5,3,7,14,17,14,10,3,4,12,16,4,15,12,12,2,16,15,1,5,0,0,5,3,4,5,3,3,16,8,11,2,4,3,2,0,18,7,4,13,11,15,14,1,3,1,2,1,16,6,3,13,18,15,4,8,12,17,4,6,13,4,11,1,17,11,0,8,13,2,19,10,4,1,2,11,4,16,1,6,15,12,4,1,2,8,0,9,0,10
522,9,5,8,4,4,8,5,9,9,9,1,7,6,4,0,7,5,1,1,1,1,9,7,8,9,6,0,9,8,5,10,4,6,8,1,10,2,1,5,9,6,8,6,6,10,1,9,9,8,8,8,0,3,6,5,9,10,8,6,5,8,4,2,8,3,1,10,1,1,10,0,8,9,10,7,10,2,11,8,10,5,11,9,4,1,6,8,11,6,1,2,11,10,8,8,1,9,7,4,12,8,9,3,5,8,6,0,0,8,1,0,11,5,5,12,1,12,9,10,9,6,9,9,11,0,11,12,8,1,8,8,1,6,5,3,4,12,10,2,13,11,0,0,2,1,10,11,13,5,4,7,3,9,8,11,6,12,11,3,0,7,12,12,8,9,1,9,2,0,7,10,6,1,1,11,0,7,12,4,4,7,0,10,13,11,3,4,2,12,12,7,4,11,9,15,9,6,1,9,13,7,13,12,0,3,9,14,2,7,0,6,8,4,14,14,0,13,8,3,2,3,14,12,8,10,6,7,4,12,8,0,7,4,8,5,0,13,2,1,4,10,13,1,2,8,2,11,2,3,16,3,0,7,16,11,1,3,12,12,16,10,3,17,0,12,4,1,16,17,3,6,11,5,9,11,4,4,10,11,3,0,4,11,8,8,4,13,10,10,5,0,7,8,14,7,6,5,6,15,12,19,10,8,12,15,0,5,3,11,15,8,19,12,4,7,13,5,17,9,3,14,0,3,5,1,5,5,14,6,9
523,4,7,8,6,4,8,0,3,9,1,9,7,2,4,4,7,6,6,1,3,1,9,7,8,9,6,0,9,8,5,2,10,4,9,3,3,4,10,1,3,6,9,6,6,10,1,2,9,10,6,8,0,3,6,5,9,10,8,6,5,10,10,4,4,9,2,4,7,11,9,1,7,8,6,4,3,4,1,11,8,5,11,1,4,0,6,8,11,6,1,10,7,12,0,7,5,5,11,11,9,12,6,4,5,7,1,7,3,4,11,0,11,5,5,12,1,12,9,10,9,0,5,13,1,3,13,6,3,4,2,0,13,0,0,5,3,4,7,3,1,11,0,0,2,1,10,11,13,5,4,4,8,5,3,0,9,7,3,11,14,0,4,7,11,3,4,7,10,4,3,0,8,4,1,11,14,1,12,11,7,6,2,6,3,14,9,14,7,1,1,2,11,7,14,9,8,2,6,15,14,3,9,10,14,14,1,1,8,5,12,2,3,11,16,1,2,5,9,11,11,12,9,4,16,6,14,3,3,16,11,14,6,14,6,14,8,16,14,15,15,9,16,11,5,5,1,1,10,1,1,1,16,16,13,3,0,0,14,11,8,7,15,8,16,1,14,6,8,2,16,13,8,1,9,8,4,1,10,12,14,0,11,11,5,17,0,7,9,10,17,5,8,17,2,14,0,13,2,6,3,2,2,18,8,19,13,19,13,6,3,13,17,7,8,17,12,14,8,12,14,5,8,7,4,12,4,13,17,1,7
524,7,7,9,7,6,5,6,5,6,1,7,2,5,5,8,4,3,0,5,6,4,8,1,5,7,8,7,4,7,0,4,5,8,4,7,7,8,4,10,6,0,7,4,5,4,9,7,2,9,0,8,0,3,6,5,9,10,8,6,5,0,5,7,7,8,10,3,3,9,2,7,2,2,9,9,6,5,5,3,5,2,2,1,9,0,7,0,0,7,7,6,4,8,4,9,12,6,1,7,3,3,0,7,6,5,0,9,4,7,5,5,0,11,0,4,12,3,6,6,1,7,11,13,5,7,13,4,13,6,7,9,4,5,8,12,8,7,11,8,6,11,0,0,2,1,10,11,13,5,4,0,8,11,12,9,14,7,10,1,9,8,10,8,4,13,8,6,4,8,14,0,8,4,1,11,14,1,12,11,7,9,11,12,7,8,11,8,12,5,6,0,15,6,6,7,13,8,11,11,9,5,10,8,10,12,7,15,10,6,1,11,14,5,8,5,7,12,7,12,3,9,8,7,0,15,10,14,7,4,14,14,6,14,6,14,8,4,8,13,8,4,9,5,11,4,5,9,0,16,10,14,8,3,10,16,14,14,16,9,3,7,15,8,16,1,14,6,8,2,16,8,6,6,12,7,6,16,18,13,12,18,10,0,13,6,10,4,13,8,0,4,0,13,8,10,18,4,9,10,14,17,9,4,11,18,9,13,18,10,11,18,3,8,9,14,17,7,7,5,5,2,13,7,6,9,4,4,12,18,11
525,3,0,0,1,8,0,1,4,2,2,2,3,0,1,6,5,9,1,6,1,5,1,0,0,1,9,2,6,0,6,8,9,9,1,9,0,6,9,9,0,1,1,2,10,1,7,1,4,5,9,2,8,0,8,0,3,1,6,1,2,11,11,11,9,1,3,5,8,2,11,11,1,3,1,10,0,8,0,1,9,1,1,0,3,5,8,3,9,5,0,3,6,0,2,1,9,2,10,8,4,4,3,12,8,1,11,11,5,0,0,11,3,12,7,11,3,5,10,4,3,9,8,7,7,9,3,3,5,7,13,13,5,11,6,9,13,9,2,7,0,8,5,2,0,0,5,13,11,3,6,10,7,6,6,7,7,4,2,6,4,9,7,0,9,6,9,10,8,10,1,5,7,6,5,0,3,4,9,12,5,0,13,15,9,3,10,13,4,2,0,11,7,1,11,2,1,9,4,1,6,4,11,0,15,7,4,13,6,4,3,8,6,14,4,9,9,2,11,13,9,8,2,9,4,8,3,2,2,9,0,6,9,2,7,3,16,5,4,4,16,16,7,10,4,1,8,8,15,10,6,17,9,1,1,2,7,4,9,4,0,15,6,9,14,5,7,9,7,3,0,9,9,15,2,14,11,6,3,5,8,2,16,1,9,4,9,3,6,5,1,18,11,4,5,3,14,10,16,12,0,0,5,6,17,3,7,9,12,15,7,5,13,11,10,9,5,16,9,4,19,0,2,10,17,8,3,17,3,10,8
526,3,0,0,1,8,0,1,4,2,2,2,3,0,1,6,5,9,1,6,1,5,1,0,0,1,9,2,6,0,6,8,9,9,1,9,0,6,9,9,0,1,1,2,10,1,7,1,4,5,9,2,8,0,8,0,3,1,6,1,2,11,11,11,9,1,3,5,8,2,11,11,1,3,1,10,0,8,0,1,9,1,1,0,3,5,8,3,9,5,0,3,6,0,2,1,9,2,10,8,4,4,3,12,8,1,11,11,5,0,0,11,3,12,7,11,3,5,10,4,3,9,8,7,7,9,3,3,5,7,13,13,5,11,6,9,13,9,2,7,0,8,5,2,0,0,5,13,11,3,6,10,7,6,6,7,7,4,2,6,4,9,7,0,9,6,9,10,8,10,1,5,7,6,5,0,3,4,9,12,5,0,13,15,9,3,10,13,4,2,0,11,7,1,11,2,1,9,4,1,6,4,11,0,15,7,4,13,6,4,3,8,6,14,4,9,9,2,11,13,9,8,2,9,4,8,3,2,2,9,0,6,9,2,7,3,16,5,4,4,16,16,7,10,4,1,8,8,15,10,6,17,9,1,1,2,7,4,9,4,0,15,6,9,14,5,7,9,7,3,0,9,9,15,2,14,11,6,3,5,8,2,16,1,9,4,9,3,6,5,1,18,11,4,5,3,14,10,16,12,0,0,5,6,17,3,7,9,12,15,7,5,13,11,10,9,5,16,9,4,19,0,2,10,17,8,3,17,3,10,8
527,1,0,0,1,8,0,5,2,2,6,2,3,6,4,6,2,9,1,1,1,5,1,0,0,1,9,2,6,0,6,8,9,9,1,9,0,6,9,9,0,1,1,2,10,1,7,5,4,5,9,2,8,0,8,0,3,1,6,1,2,11,11,11,9,1,3,5,8,2,11,11,1,3,1,10,0,8,0,1,9,1,1,0,3,5,8,3,9,5,0,3,6,0,2,1,9,2,10,8,4,4,3,12,8,1,11,11,5,0,0,11,3,12,7,11,3,5,10,4,3,9,8,7,7,9,3,3,5,7,13,13,5,11,6,9,13,9,2,7,0,8,5,2,0,0,5,13,11,3,6,10,7,6,6,7,7,4,2,6,4,9,7,0,9,6,9,10,8,10,1,5,7,6,5,0,3,4,9,12,5,0,13,15,9,3,10,13,4,2,0,11,7,1,11,2,1,9,4,1,6,4,11,0,15,7,4,8,6,4,14,8,6,14,4,9,9,2,11,13,9,8,2,9,4,8,3,2,2,9,0,6,9,2,7,3,16,5,4,4,16,16,7,10,4,1,8,8,15,10,6,17,9,1,1,2,7,4,9,4,0,15,6,9,14,5,7,9,7,3,0,9,9,15,2,14,11,6,3,5,8,2,16,1,9,4,9,3,6,5,1,18,11,4,5,3,14,10,16,12,0,0,5,6,17,3,7,9,12,15,7,5,13,11,10,9,5,16,9,4,19,0,2,10,17,8,3,17,3,10,8
528,4,7,3,6,7,2,0,3,4,1,9,4,2,0,4,9,6,6,9,3,9,2,9,2,2,0,8,0,3,9,2,10,4,9,3,3,4,10,1,3,10,9,3,8,0,10,2,5,10,6,8,0,3,6,5,9,10,8,6,5,2,10,4,4,9,11,11,7,11,9,1,7,7,6,4,3,4,7,11,8,2,2,1,9,0,7,0,0,7,7,10,12,2,0,7,10,12,11,11,6,9,6,4,4,7,1,12,11,4,11,5,0,11,0,4,12,3,6,6,1,11,13,10,2,11,4,13,7,13,10,5,9,10,11,0,12,11,1,4,5,9,9,6,4,4,9,8,4,0,12,14,13,10,9,6,1,14,14,14,11,10,13,13,3,5,13,3,1,14,6,0,0,10,7,2,4,1,8,0,7,1,6,13,14,7,15,9,0,10,11,12,1,8,4,8,6,12,9,7,15,8,6,2,7,4,3,7,3,11,4,4,2,13,11,10,6,16,16,10,8,5,5,13,7,7,2,4,5,10,12,2,14,5,5,4,12,11,10,8,6,12,6,4,3,15,16,15,8,13,9,8,1,6,3,4,16,2,3,5,11,5,9,3,7,6,8,16,6,15,12,4,16,18,11,10,7,5,16,10,5,4,0,16,2,5,18,8,17,6,18,9,10,2,18,15,2,3,0,2,5,6,8,0,5,12,4,6,6,8,18,14,16,5,16,18,6,2,0,17,1,6,4,11,13,15,15,12,10,11,3
529,9,5,8,4,4,8,5,9,9,9,1,7,6,4,0,7,5,1,1,1,1,9,7,8,9,6,0,9,8,5,10,4,6,8,1,10,2,1,5,9,6,8,6,6,10,1,9,9,8,8,7,5,9,0,4,1,9,1,7,6,8,4,2,8,3,1,10,1,1,10,0,8,9,10,7,10,2,11,8,10,11,4,11,7,1,2,2,4,1,8,2,11,10,8,8,1,9,7,4,12,8,9,3,5,8,6,0,0,8,1,6,7,1,12,8,7,9,8,12,8,6,9,9,11,0,11,12,8,1,8,8,1,6,5,3,4,12,10,2,13,3,6,8,7,3,2,9,5,9,0,7,3,9,8,11,6,12,11,3,0,7,12,12,8,9,1,9,2,0,7,10,6,1,10,8,0,7,6,4,4,7,0,1,1,11,7,10,2,12,15,7,4,9,9,15,9,6,1,9,13,7,13,12,12,3,9,14,2,7,0,6,8,16,5,15,15,1,0,3,10,3,14,12,8,10,6,7,11,12,8,0,7,4,8,5,15,13,2,1,4,10,13,14,16,8,15,4,9,17,4,3,0,7,16,11,1,3,12,12,16,10,10,1,11,12,4,12,16,5,3,6,14,10,9,11,4,4,10,12,3,0,4,11,8,9,4,13,9,10,5,0,7,8,14,7,6,5,6,15,12,19,10,16,12,15,0,5,3,11,15,8,0,12,4,7,13,5,17,9,3,14,0,3,5,1,5,5,14,6,9
530,9,5,8,4,4,8,5,9,9,9,1,7,6,4,0,7,5,1,1,1,1,9,7,8,9,6,0,9,8,5,10,4,6,8,1,10,2,1,5,9,6,8,6,6,10,1,9,9,8,8,7,5,9,0,4,1,9,1,7,6,8,4,2,8,3,1,10,1,1,10,0,8,9,10,7,10,2,11,8,10,11,4,11,7,1,2,2,4,1,8,2,11,10,8,8,1,9,7,4,12,8,9,3,5,8,6,0,0,8,1,6,7,1,12,8,7,9,8,12,8,6,9,9,11,0,11,12,8,1,8,8,1,6,5,3,4,12,10,2,13,3,6,8,7,3,2,9,5,9,0,7,3,9,8,11,6,12,11,3,0,7,12,12,8,9,1,9,2,0,7,10,6,1,10,8,0,7,6,4,4,7,0,1,1,11,7,10,2,12,15,7,4,9,9,15,9,6,1,9,13,7,13,12,12,3,9,14,2,7,0,6,8,16,5,15,15,1,0,3,10,3,14,12,8,10,6,7,11,12,8,0,7,4,8,5,15,13,2,1,4,10,13,14,16,8,15,4,9,17,4,3,0,7,16,11,1,3,12,12,16,4,10,1,11,12,4,12,16,5,3,6,14,10,9,11,4,4,10,12,3,0,4,11,8,9,4,13,9,10,5,0,7,8,14,7,6,5,6,15,12,19,10,16,12,15,0,5,3,11,15,8,0,12,4,7,13,5,17,9,3,14,0,3,5,1,5,5,14,19,9
531,8,2,7,0,3,7,4,7,1,3,3,1,3,6,9,9,8,9,7,9,3,5,3,6,5,4,6,5,6,2,7,2,10,2,8,2,10,8,7,10,4,2,0,1,7,5,10,0,3,2,0,9,10,3,9,10,3,10,4,10,5,0,10,11,4,6,11,6,3,8,6,5,11,2,1,2,9,8,6,1,7,5,7,5,4,11,7,8,8,11,7,1,9,9,5,4,8,3,12,0,11,7,0,1,10,12,6,8,3,9,2,9,8,3,0,5,8,4,0,10,3,2,3,12,8,5,7,12,9,0,1,2,3,2,7,2,3,3,13,4,6,2,11,11,11,11,6,0,10,9,3,9,0,10,14,8,0,4,4,6,5,5,3,2,4,5,2,7,3,11,14,3,3,14,7,9,14,14,8,6,10,4,7,6,0,4,3,14,6,5,3,12,0,1,12,7,4,7,8,2,1,2,7,3,10,14,3,12,3,7,12,7,0,3,4,12,7,5,8,1,13,4,0,10,2,5,9,13,13,6,7,11,3,0,8,5,3,9,3,3,5,3,7,14,17,17,10,3,4,12,16,4,15,12,12,2,16,15,1,5,0,0,5,3,4,5,3,3,16,8,2,2,4,3,9,0,18,7,4,13,3,15,14,1,3,1,2,1,16,13,3,13,18,15,4,8,12,17,4,6,13,4,11,1,17,11,0,8,13,2,19,10,4,1,2,11,4,16,1,6,15,12,4,1,2,8,0,2,0,6
532,9,5,8,4,4,8,5,9,9,9,9,7,2,4,4,7,6,6,1,3,9,2,9,2,2,0,8,0,3,9,2,10,4,9,3,3,4,10,1,3,10,9,3,6,0,10,2,9,10,6,8,0,3,6,5,9,10,8,6,5,8,4,2,8,3,1,10,1,1,9,1,7,8,6,4,3,4,1,11,8,2,2,1,9,0,7,0,0,7,7,10,7,12,0,7,5,5,11,11,9,12,6,4,4,7,1,7,3,4,11,5,0,11,0,4,12,3,6,6,1,0,5,13,1,3,13,6,3,4,2,0,13,0,0,0,3,4,1,3,1,11,0,0,2,1,10,11,4,5,12,4,13,5,3,0,9,7,3,14,11,10,4,13,3,5,4,3,10,4,3,0,8,4,7,2,14,1,8,0,7,1,6,13,3,14,9,9,0,1,1,12,14,8,4,9,6,12,9,2,15,3,9,10,14,14,1,1,8,5,12,4,2,13,9,1,6,5,9,10,8,5,9,13,7,6,2,4,3,10,1,14,14,5,5,14,8,11,10,8,6,4,16,4,5,5,17,5,8,13,9,8,7,16,3,13,0,0,2,11,3,7,15,3,7,6,8,16,6,2,12,4,6,0,6,8,7,5,6,10,14,4,0,0,14,1,18,4,17,3,18,4,0,13,8,10,18,4,9,10,5,12,18,11,17,11,7,9,12,3,17,5,13,1,10,3,5,16,9,4,19,3,13,9,6,9,10,4,12,18,19
533,3,6,6,9,2,4,1,4,5,2,4,8,0,1,3,5,2,5,6,4,2,4,5,7,6,1,3,1,4,1,3,0,3,6,5,9,5,3,2,8,9,6,10,2,2,2,1,6,1,1,6,2,4,5,7,2,4,2,3,7,1,1,3,2,6,7,0,2,7,3,5,6,1,5,3,5,1,4,7,2,3,10,3,1,10,4,5,10,3,3,5,2,3,6,6,3,7,2,0,2,1,1,1,2,2,3,4,2,12,7,9,4,2,6,6,2,10,2,1,0,12,12,11,3,13,7,2,9,8,5,4,12,1,7,10,9,1,9,6,12,10,13,5,6,12,13,12,2,2,10,9,1,3,2,4,13,11,6,0,7,1,3,9,1,2,10,14,11,6,13,9,14,13,8,6,6,6,10,10,14,2,12,3,0,5,8,5,10,3,3,5,5,3,3,10,15,3,13,5,0,2,3,3,9,9,15,0,15,2,5,3,4,7,12,12,10,6,4,6,12,6,3,1,1,0,0,10,16,0,3,4,12,16,4,10,14,0,11,7,5,8,11,9,10,3,10,2,4,5,0,4,17,9,9,0,10,17,11,17,4,8,13,4,9,2,9,11,0,4,6,0,3,3,14,6,2,3,14,3,4,6,7,6,3,11,3,16,14,7,15,14,12,5,11,8,3,16,8,7,9,7,3,12,9,4,10,10,2,4,4,2,2,2,19,0,19,1,4,8,16,10,6,13,7,5,2,3,15,4,0
534,9,5,8,4,4,8,5,9,9,9,1,7,6,4,0,7,5,1,1,1,1,9,7,8,9,6,0,9,8,5,10,4,6,8,1,10,2,1,5,9,6,8,6,6,10,1,9,9,8,8,7,5,9,0,4,1,9,1,7,6,8,4,2,8,3,1,10,1,1,10,0,8,9,10,7,10,2,11,8,10,11,4,11,7,1,2,2,4,1,8,2,11,10,8,8,1,9,7,4,12,8,9,3,5,8,6,0,0,8,1,6,7,1,12,8,7,9,8,12,8,6,9,9,11,0,11,12,8,1,8,8,1,6,5,3,4,12,10,2,13,3,6,8,7,3,2,9,13,9,0,7,3,9,8,11,6,12,11,3,0,7,12,12,8,9,1,9,2,0,7,10,6,1,10,11,0,7,6,4,4,7,0,1,1,11,7,10,2,12,15,7,4,9,9,15,9,6,1,9,13,7,13,12,12,3,9,14,2,7,0,6,8,16,5,15,15,1,0,3,10,3,14,12,8,10,6,7,11,12,8,0,7,4,8,5,15,13,2,1,4,10,13,14,16,8,15,4,9,17,4,1,0,7,16,11,1,3,12,12,16,4,10,1,11,12,4,12,16,5,3,6,14,10,9,11,4,4,10,12,3,0,4,11,8,9,4,13,9,10,5,0,7,8,14,7,6,5,6,15,12,19,10,16,12,15,0,5,3,11,15,8,0,12,4,7,13,14,17,9,3,14,0,3,5,1,5,5,14,19,9
